X Y Z K_gauss trend plunge
4394282.677 7472885.23 -6844.161392 2.71E-11 171.209 88.789
4394352.198 7472885.23 -6844.506352 3.24E-11 174.291 88.802
4394421.719 7472885.23 -6844.742508 3.68E-11 177.983 88.81
4394491.239 7472885.23 -6844.862465 4.08E-11 182.194 88.811
4394560.76 7472885.23 -6844.863709 4.52E-11 186.843 88.8
4394630.28 7472885.23 -6844.745583 5.05E-11 191.863 88.777
4394699.801 7472885.23 -6844.506108 5.72E-11 197.198 88.739
4394769.321 7472885.23 -6844.139058 6.51E-11 202.779 88.683
4394838.842 7472885.23 -6843.632069 7.38E-11 208.512 88.606
4394908.362 7472885.23 -6842.967348 8.25E-11 214.261 88.503
4394977.883 7472885.23 -6842.123232 8.95E-11 219.87 88.372
4395047.404 7472885.23 -6841.072291 9.74E-11 225.061 88.211
4395116.924 7472885.23 -6839.776943 1.06E-10 229.761 88.02
4395186.445 7472885.23 -6838.189246 1.15E-10 233.943 87.8
4395255.965 7472885.23 -6836.256791 1.24E-10 237.618 87.551
4395325.486 7472885.23 -6833.929136 1.33E-10 240.819 87.275
4395395.006 7472885.23 -6831.161807 1.40E-10 243.592 86.974
4395464.527 7472885.23 -6827.919628 1.47E-10 245.983 86.653
4395534.047 7472885.23 -6824.177275 1.51E-10 248.04 86.314
4395603.568 7472885.23 -6819.914302 1.54E-10 249.809 85.963
4395673.088 7472885.23 -6815.111657 1.54E-10 251.328 85.603
4395742.609 7472885.23 -6809.757463 1.52E-10 252.634 85.24
4395812.13 7472885.23 -6803.854454 1.47E-10 253.759 84.879
4395881.65 7472885.23 -6797.417374 1.41E-10 254.73 84.524
4395951.171 7472885.23 -6790.465841 1.33E-10 255.569 84.178
4396020.691 7472885.23 -6783.025389 1.24E-10 256.297 83.847
4396090.212 7472885.23 -6775.133502 1.13E-10 256.931 83.533
4396159.732 7472885.23 -6766.838205 1.03E-10 257.483 83.237
4396229.253 7472885.23 -6758.1891 9.16E-11 257.967 82.963
4396298.773 7472885.23 -6749.230516 8.07E-11 258.391 82.711
4396368.294 7472885.23 -6739.999837 7.01E-11 258.765 82.483
4396437.814 7472885.23 -6730.527585 6.00E-11 259.095 82.277
4396507.335 7472885.23 -6720.838866 5.07E-11 259.387 82.094
4396576.856 7472885.23 -6710.957049 4.23E-11 259.648 81.932
4396646.376 7472885.23 -6700.906831 3.48E-11 259.882 81.79
4396715.897 7472885.23 -6690.713989 2.82E-11 260.092 81.666
4396785.417 7472885.23 -6680.403517 2.27E-11 260.281 81.557
4396854.938 7472885.23 -6669.998359 1.80E-11 260.453 81.464
4396924.458 7472885.23 -6659.518184 1.41E-11 260.609 81.382
4396993.979 7472885.23 -6648.977679 1.10E-11 260.75 81.313
4397063.499 7472885.23 -6638.385697 8.52E-12 260.876 81.254
4397133.02 7472885.23 -6627.746116 6.52E-12 260.989 81.205
4397202.54 7472885.23 -6617.059463 4.86E-12 261.088 81.166
4397272.061 7472885.23 -6606.324532 3.38E-12 261.173 81.136
4397341.582 7472885.23 -6595.540393 1.89E-12 261.245 81.115
4397411.102 7472885.23 -6584.708857 1.65E-13 261.303 81.104
4397480.623 7472885.23 -6573.836389 -1.98E-12 261.346 81.103
4397550.143 7472885.23 -6562.934553 -4.70E-12 261.374 81.113
4397619.664 7472885.23 -6552.019038 -8.06E-12 261.385 81.136
4397689.184 7472885.23 -6541.10808 -1.20E-11 261.38 81.17
4397758.705 7472885.23 -6530.221157 -1.64E-11 261.357 81.218
4397828.225 7472885.23 -6519.378466 -2.10E-11 261.317 81.278
4397897.746 7472885.23 -6508.601507 -2.54E-11 261.259 81.35
4397967.267 7472885.23 -6497.915407 -2.95E-11 261.186 81.432
4398036.787 7472885.23 -6487.352493 -3.31E-11 261.098 81.523
4398106.308 7472885.23 -6476.953206 -3.59E-11 260.997 81.622
4398175.828 7472885.23 -6466.75947 -3.79E-11 260.885 81.725
4398245.349 7472885.23 -6456.801382 -3.91E-11 260.765 81.832
4398314.869 7472885.23 -6447.085544 -3.95E-11 260.641 81.939
4398384.39 7472885.23 -6437.593182 -3.91E-11 260.518 82.044
4398453.91 7472885.23 -6428.288832 -3.76E-11 260.402 82.143
4398523.431 7472885.23 -6419.133758 -3.48E-11 260.302 82.232
