X	Y	Z	influencia	Az
4394282.677	7472885.23	-6844.161392	0.003106	354.2
4394352.198	7472885.23	-6844.506352	0.003114	354.2
4394421.719	7472885.23	-6844.742508	0.003123	354.2
4394491.239	7472885.23	-6844.862465	0.003132	354.2
4394560.76	7472885.23	-6844.863709	0.00314	354.2
4394630.28	7472885.23	-6844.745583	0.003149	354.2
4394699.801	7472885.23	-6844.506108	0.003158	354.2
4394769.321	7472885.23	-6844.139058	0.003167	354.2
4394838.842	7472885.23	-6843.632069	0.003176	354.2
4394908.362	7472885.23	-6842.967348	0.003185	354.2
4394977.883	7472885.23	-6842.123232	0.003194	354.2
4395047.404	7472885.23	-6841.072291	0.003204	354.2
4395116.924	7472885.23	-6839.776943	0.003213	354.2
4395186.445	7472885.23	-6838.189246	0.003222	354.2
4395255.965	7472885.23	-6836.256791	0.003232	354.2
4395325.486	7472885.23	-6833.929136	0.003241	354.2
4395395.006	7472885.23	-6831.161807	0.003251	354.2
4395464.527	7472885.23	-6827.919628	0.00326	354.2
4395534.047	7472885.23	-6824.177275	0.00327	354.2
4395603.568	7472885.23	-6819.914302	0.00328	354.2
4395673.088	7472885.23	-6815.111657	0.00329	354.2
4395742.609	7472885.23	-6809.757463	0.0033	354.2
4395812.13	7472885.23	-6803.854454	0.00331	354.2
4395881.65	7472885.23	-6797.417374	0.00332	354.2
4395951.171	7472885.23	-6790.465841	0.00333	354.2
4396020.691	7472885.23	-6783.025389	0.00334	354.2
4396090.212	7472885.23	-6775.133502	0.003351	354.2
4396159.732	7472885.23	-6766.838205	0.003361	354.2
4396229.253	7472885.23	-6758.1891	0.003372	354.2
4396298.773	7472885.23	-6749.230516	0.003383	354.2
4396368.294	7472885.23	-6739.999837	0.003393	354.2
4396437.814	7472885.23	-6730.527585	0.003404	354.2
4396507.335	7472885.23	-6720.838866	0.003415	354.2
4396576.856	7472885.23	-6710.957049	0.003426	354.2
4396646.376	7472885.23	-6700.906831	0.003437	354.2
4396715.897	7472885.23	-6690.713989	0.003448	354.2
4396785.417	7472885.23	-6680.403517	0.00346	354.2
4396854.938	7472885.23	-6669.998359	0.003471	354.2
4396924.458	7472885.23	-6659.518184	0.003483	354.2
4396993.979	7472885.23	-6648.977679	0.003494	354.2
4397063.499	7472885.23	-6638.385697	0.003506	354.2
4397133.02	7472885.23	-6627.746116	0.003518	354.2
4397202.54	7472885.23	-6617.059463	0.00353	354.2
4397272.061	7472885.23	-6606.324532	0.003542	354.2
4397341.582	7472885.23	-6595.540393	0.003554	354.2
4397411.102	7472885.23	-6584.708857	0.003566	354.2
4397480.623	7472885.23	-6573.836389	0.003579	354.2
4397550.143	7472885.23	-6562.934553	0.003591	354.2
4397619.664	7472885.23	-6552.019038	0.003604	354.2
4397689.184	7472885.23	-6541.10808	0.003616	354.2
4397758.705	7472885.23	-6530.221157	0.003629	354.2
4397828.225	7472885.23	-6519.378466	0.003642	354.2
4397897.746	7472885.23	-6508.601507	0.003655	354.2
4397967.267	7472885.23	-6497.915407	0.003669	354.2
4398036.787	7472885.23	-6487.352493	0.003682	354.2
4398106.308	7472885.23	-6476.953206	0.003695	354.2
4398175.828	7472885.23	-6466.75947	0.003709	354.2
4398245.349	7472885.23	-6456.801382	0.003723	354.2
4398314.869	7472885.23	-6447.085544	0.003737	354.2
4398384.39	7472885.23	-6437.593182	0.003751	354.2
4398453.91	7472885.23	-6428.288832	0.003765	354.2
4398523.431	7472885.23	-6419.133758	0.003779	354.2
4398592.951	7472885.23	-6410.09684	0.003794	354.2
4398662.472	7472885.23	-6401.158484	0.003808	354.2
4398731.993	7472885.23	-6392.308223	0.003823	354.2
4398801.513	7472885.23	-6383.540068	0.003838	354.2
4398871.034	7472885.23	-6374.847749	0.003853	354.2
4398940.554	7472885.23	-6366.217616	0.003868	354.2
4399010.075	7472885.23	-6357.616936	0.003884	354.2
4399079.595	7472885.23	-6348.98111	0.003899	354.2
4399149.116	7472885.23	-6340.209035	0.003915	354.2
4399218.636	7472885.23	-6331.172406	0.003931	354.2
4399288.157	7472885.23	-6321.73159	0.003947	354.2
4399357.677	7472885.23	-6311.745069	0.003963	354.2
4399427.198	7472885.23	-6301.073876	0.003979	354.2
4399496.719	7472885.23	-6289.596772	0.003996	354.2
4399566.239	7472885.23	-6277.24242	0.004013	354.2
4399635.76	7472885.23	-6264.025461	0.00403	354.2
4399705.28	7472885.23	-6250.065874	0.004047	354.2
4399774.801	7472885.23	-6235.570001	0.004064	354.2
4399844.321	7472885.23	-6220.763263	0.004082	354.2
4399913.842	7472885.23	-6205.805594	0.0041	354.2
4399983.362	7472885.23	-6190.750727	0.004118	354.2
4400052.883	7472885.23	-6175.574125	0.004136	354.2
4400122.404	7472885.23	-6160.229763	0.004154	354.2
4400191.924	7472885.23	-6144.684911	0.004173	354.2
4400261.445	7472885.23	-6128.922862	0.004192	354.2
4400330.965	7472885.23	-6112.932135	0.004211	354.2
4400400.486	7472885.23	-6096.694453	0.00423	354.2
4400470.006	7472885.23	-6080.173945	0.004249	354.2
4400539.527	7472885.23	-6063.3139	0.004269	354.2
4400609.047	7472885.23	-6046.047736	0.004289	354.2
4400678.568	7472885.23	-6028.317665	0.00431	354.2
4400748.088	7472885.23	-6010.086484	0.00433	354.2
4400817.609	7472885.23	-5991.337421	0.004351	354.2
4400887.13	7472885.23	-5972.066862	0.004372	354.2
4400956.65	7472885.23	-5952.273594	0.004393	354.2
4401026.171	7472885.23	-5931.948377	0.004415	354.2
4401095.691	7472885.23	-5911.070629	0.004437	354.2
4401165.212	7472885.23	-5889.609784	0.004459	354.2
4401234.732	7472885.23	-5867.518561	0.004482	354.2
4401304.253	7472885.23	-5844.719375	0.004504	354.2
4401373.773	7472885.23	-5821.105172	0.004527	354.2
4401443.294	7472885.23	-5796.562781	0.004551	354.2
4401512.814	7472885.23	-5770.996454	0.004575	354.2
4401582.335	7472885.23	-5744.332099	0.004599	354.2
4401651.856	7472885.23	-5716.509429	0.004623	354.2
4401721.376	7472885.23	-5687.472167	0.004648	354.2
4401790.897	7472885.23	-5657.155325	0.004673	354.2
4401860.417	7472885.23	-5625.479951	0.004699	354.2
4401929.938	7472885.23	-5592.374979	0.004725	354.2
4401999.458	7472885.23	-5557.820035	0.004751	354.2
4402068.979	7472885.23	-5521.881672	0.004778	354.2
4402138.499	7472885.23	-5484.731799	0.004805	354.2
4402208.02	7472885.23	-5446.649397	0.004832	354.2
4402277.54	7472885.23	-5407.98815	0.00486	354.2
4402347.061	7472885.23	-5369.090903	0.004888	354.2
4402416.582	7472885.23	-5330.175053	0.004917	354.2
4402486.102	7472885.23	-5291.252785	0.004946	354.2
4402555.623	7472885.23	-5252.138278	0.004976	354.2
4402625.143	7472885.23	-5212.545913	0.005006	354.2
4402694.664	7472885.23	-5172.237451	0.005037	354.2
4402764.184	7472885.23	-5131.14069	0.005068	354.2
4402833.705	7472885.23	-5089.361088	0.0051	354.2
4402903.225	7472885.23	-5047.082363	0.005132	354.2
4402972.746	7472885.23	-5004.448136	0.005165	354.2
4403042.267	7472885.23	-4961.516282	0.005198	354.2
4403111.787	7472885.23	-4918.288103	0.005232	354.2
4403181.308	7472885.23	-4874.756905	0.005267	354.2
4403250.828	7472885.23	-4830.938802	0.005302	354.2
4403320.349	7472885.23	-4786.882862	0.005338	354.2
4403389.869	7472885.23	-4742.668429	0.005374	354.2
4403459.39	7472885.23	-4698.397097	0.005411	354.2
4403528.91	7472885.23	-4654.186089	0.005449	354.2
4403598.431	7472885.23	-4610.16642	0.005488	354.2
4403667.951	7472885.23	-4566.48404	0.005527	354.2
4403737.472	7472885.23	-4523.29661	0.005567	354.2
4403806.993	7472885.23	-4480.759066	0.005608	354.2
4403876.513	7472885.23	-4439.00246	0.005649	354.2
4403946.034	7472885.23	-4398.118231	0.005692	354.2
4404015.554	7472885.23	-4358.150123	0.005735	354.2
4404085.075	7472885.23	-4319.087722	0.005779	354.2
4404154.595	7472885.23	-4280.866282	0.005824	354.2
4404224.116	7472885.23	-4243.381922	0.00587	354.2
4404293.636	7472885.23	-4206.512766	0.005917	354.2
4404363.157	7472885.23	-4170.124731	0.005965	354.2
4404432.677	7472885.23	-4134.060444	0.006014	354.2
