Nombre X Y
Tr-197(bis) 4408596 7495073
T-183 4408933 7492244
Tr.a-207 4409872 7494103
T-123 4409772 7494778
T-161 4409375 7494896
T-145 4410273 7495868
T-182 4410931 7498061
Lo.a-108 4411303 7502374
Lo.a-106 4411302 7504834
Lo-111 4411888 7506107
Lo.a-109 4412593 7505772
Lo.a-115 4411812 7507811
Lo.a-1001 4411813 7507791
Lo.a-1002 4413059 7508441
Lo-105 4411287 7504846
Lo-104 4411868 7506110
AdY.x-1 4414834 7520317
AdY-2 4414852 7520307
LdC.x-1001 4413436 7519347
Ag.ap-1002 4409548 7503635,5
Ag.ap-1002(ST) 4409548 7503635,5
Ag.xp-1 4408979 7497738
Ag.xp-1(ST) 4408979 7497738
ALo.x-1 4410956 7507948
CB.x-2 4406529 7477266
Cu.x-1 4411333 7512148
Cu.x-2 4412039 7513919
Cu.x-3 4411178 7510400
LdC.x-1 4412275 7519743
QGa.x-1 4410805 7504136
Qui.x-1 4407818 7471872
SaAg-4 4410091 7506086
Tr.xp-199 4408792 7494066
Tr.xp-202 4409147 7496035
Tr.xp-206 4407800 7492332
TrS.x-1 4407957 7488372
Ve.x-1 4428187 7501636
Ag.ap-1001 4408521,5 7499646,5
Ag.ap-1001(ST) 4408521,5 7499646,5
